ID,Marital_Status,Sex,DV,age,Years_Education,hours_worked,Occupation,income,capital_wealth
141,Married,Female,1,57,17,27,Other,40854.13,100002.56
142,Married,Female,0,40,18,35,Administrative,54503.81,9548.72
143,Married,Female,0,47,16,32,Trade,52196.96,7491.27
144,Married,Female,0,45,14,33,Professional,60566.1,3139.46
145,Married,Male,0,43,13,26,Trade,37060.55,0.77
146,Married,Female,1,50,12,33,Administrative,34039.73,52054.62
147,Married,Female,0,36,12,29,Administrative,15151.91,10589.84
148,Married,Female,0,46,13,31,Unemployed,3719.39,70.87
149,Married,Male,1,66,16,8,Trade,52262.41,100004.45
150,Married,Female,0,51,14,32,Trade,47142.74,49339.14
151,Married,Female,1,49,14,31,Professional,66927.78,32002.5
152,Married,Male,0,44,9,30,Administrative,23998.79,1.25
153,Married,Male,0,44,17,27,Retired,29224.49,1.38
154,Married,Male,1,54,11,60,Professional,63960.46,100003.93
155,Married,Male,1,59,19,28,Unemployed,3771.52,946.85
156,,Female,0,48,9,28,Administrative,36374.84,21616.82
157,Married,Female,0,47,9,40,Administrative,33901.81,7493.13
158,Married,Female,0,41,12,28,Administrative,36281.09,9547.61
159,Married,Female,0,44,14,31,Administrative,33073.59,4309.4
160,Married,Female,0,41,11,33,Professional,2237.27,3140.77
161,Married,Male,0,45,17,34,Other,33901.3,-0.74
162,Married,Female,1,57,8,31,Administrative,34250.48,94684.69
163,Married,Male,0,40,13,28,Other,16227.26,0.06
164,Married,Female,0,51,18,28,Administrative,33319.64,51430.78
165,Married,Male,0,37,9,35,Trade,7203.38,4.14
166,Married,Female,0,45,15,29,Administrative,31178.22,4308.62
167,Married,Female,1,56,11,35,Administrative,39343.64,92245.1
168,Married,Female,0,42,16,26,Other,27205.55,5304.19
169,Married,Female,0,38,15,28,Administrative,-2343.56,10590.59
170,Married,Female,1,51,12,32,Other,41311.41,49333.7
171,Married,Male,0,44,18,28,Administrative,49635.3,5.44
172,Married,Female,0,41,13,34,Administrative,17815.55,5301.92
173,Married,Female,1,57,13,35,Unemployed,3705.29,1000.06
174,Married,Female,1,48,9,20,Other,39293.98,21618.58
175,Married,Female,0,37,16,35,Retired,9387.3,10588.92
176,Married,Female,0,40,11,33,Professional,11115.82,3144.3
177,Married,Male,0,41,14,,Administrative,21745.68,1.45
178,Married,Male,0,42,12,27,Unemployed,3629.42,0.01
179,Married,Female,0,45,11,31,Other,34900.88,4310.35
180,Married,Female,0,42,14,31,Trade,34842.2,2743.77
181,Married,Female,0,51,14,29,Administrative,28655.59,49332.95
182,Married,Female,1,54,18,28,Trade,44807.06,77217.47
183,Married,Female,0,38,13,29,Administrative,27663.68,10586.72
184,Married,Female,0,41,13,29,Other,20290.14,5297.59
185,Married,Female,0,52,16,34,Other,36751.89,32168.83
186,Married,Male,0,47,15,28,Other,53803.96,3.99
187,Married,Female,1,61,9,30,Professional,59171.48,100001.53
188,Married,Female,1,74,13,8,Professional,70848.17,100002.4
189,Married,Male,1,53,13,34,Administrative,39580.41,75394.58
190,Married,Male,1,58,16,37,Trade,50699.3,94683.61
191,Married,Female,0,39,11,28,Professional,29283.18,9547.22
192,Married,Female,1,52,12,32,Professional,52378.71,64584.27
193,Married,Female,0,43,9,20,Administrative,36088.11,3144.44
194,Married,Female,0,39,11,39,Retired,38390.63,15936.26
195,Married,Female,0,45,11,31,Professional,67765.29,7900.56
196,Married,Female,1,43,10,38,Administrative,19931.42,7086.88
197,Married,Female,0,46,15,27,Administrative,39801.47,12109.07
198,Married,Male,0,51,12,30,Administrative,34806.89,32168.03
199,Married,Male,0,38,16,27,Unemployed,3726.78,0.05
200,Married,Male,0,45,12,24,Other,30729.72,2.23
201,Married,Female,1,45,10,31,Administrative,28449.1,4307.54
202,Married,Female,1,53,14,32,Other,30260.16,75392.94
203,Married,Female,0,37,19,29,Retired,-18820.5,10589.02
204,Married,Female,1,53,13,32,Administrative,35766.25,75397.77
205,Married,Male,0,41,19,33,Retired,19637.68,3143.47
206,Married,Male,1,54,13,54,Unemployed,3790.49,1000.03
207,Married,Female,1,54,11,28,Professional,49192.42,77215.89
208,Married,Male,1,71,16,12,Unemployed,3560.93,1000.01
209,Married,Female,0,44,15,27,Trade,24933.87,11001.87
210,Married,Female,0,53,11,31,Professional,69106.41,75396.57
211,Married,Male,0,,8,28,Professional,65661.14,-1.24
212,Married,Female,1,44,15,29,Other,25318.98,11001.6
213,Married,Male,0,41,14,32,Retired,35949.79,37094.8
214,Married,Male,0,41,14,23,Trade,28387.06,37094.32
215,Married,Female,0,58,12,39,Other,42842.6,100002.56
216,,Female,1,57,11,27,Administrative,32257.13,100004.32
217,Married,Female,0,45,12,30,Retired,8428.4,7090.36
218,Married,Female,0,44,18,32,Administrative,22597.68,7491.99
219,Married,Female,1,56,17,27,Retired,42937.4,92243.13
220,Married,Female,0,45,13,,Unemployed,3824.14,31.42
221,Married,Female,1,57,11,29,Other,45884.38,97450.96
222,Married,Female,1,51,12,30,Other,43128.87,32166.98
223,Married,Female,0,38,16,26,Unemployed,3636.1,105.89
224,Married,Female,0,46,12,31,Professional,61837.35,7901.34
225,Married,Female,0,40,15,30,Administrative,33497.34,9549.05
226,Married,Female,0,51,11,36,Unemployed,3684.65,493.34
227,Married,Female,0,47,15,31,Professional,51275.95,14567.09
228,Married,Male,0,51,8,35,Trade,49278.19,49338.8
229,Married,Female,0,40,14,36,Retired,46649.28,2739.55
230,Married,Female,1,64,13,28,Unemployed,3693.17,1000.03
231,Married,Female,1,56,18,26,Administrative,28619.08,92242.25
232,Married,Female,0,39,18,29,Trade,23080.71,2742.82
233,Married,Female,0,39,12,35,Professional,16962.4,5300.56
234,Married,Male,0,44,16,29,Trade,41342.58,4.08
235,Married,Female,0,41,15,28,Other,28028.22,9550.59
236,Married,Female,1,54,12,29,Other,37962.72,49588.84
237,Married,Female,0,37,14,29,Other,16168.81,10591.12
238,Married,Female,0,45,11,32,Trade,42494.81,7492.02
239,Married,Female,1,57,8,,Unemployed,3915.98,946.85
240,Married,Female,1,54,11,33,Administrative,31854.86,75391.29
241,Married,Female,0,36,20,34,Retired,32240.1,10587.57
242,Married,Female,1,52,14,33,Other,36841.62,64582.78
243,Married,Female,0,42,15,31,Professional,20933.5,5299.32
244,Married,Female,0,46,10,28,Unemployed,3885.75,70.87
245,Married,Female,0,40,16,33,Other,38082.31,3143.83
246,Married,Male,1,53,11,55,Administrative,25851.3,100002.47
247,,Female,0,40,12,27,Professional,16876.86,5301.91
248,Married,Female,0,39,14,27,Professional,13592.34,5298.6
249,Married,Female,1,53,11,35,Trade,47805.82,77217.1
250,Married,Male,0,42,15,31,Other,25577.49,6475
251,Married,Male,0,46,11,32,Unemployed,3713.67,370.93
252,Married,Female,1,38,17,27,Other,46623.66,10586.53
253,Married,Female,0,31,12,30,Professional,8367.08,3.25
254,,Male,0,44,10,29,Retired,-8437.67,2.51
255,Married,Female,1,55,13,30,Professional,78964.52,90307.32
256,Married,Male,0,36,12,34,Trade,-2973.36,2.33
257,Married,Male,0,43,10,33,Trade,29488.31,3144.08
258,Married,Male,0,44,12,27,Trade,19737.6,6.58
259,Married,Male,1,74,15,16,Retired,12787.16,93463.81
260,Married,Male,0,49,13,24,Other,42638.41,32001
261,Married,Female,0,45,11,29,Professional,57994.89,7902.05
262,Married,Female,1,49,14,36,Retired,31803.48,52052.81
263,Married,Female,0,47,11,31,Other,45724.06,14570.6
264,Married,Female,0,42,15,24,Retired,71011.18,2744.34
265,Married,Female,0,38,13,34,Trade,2456.84,10594.13
266,Married,Female,0,44,12,27,Other,32168.09,4312.03
267,Married,Female,0,39,9,27,Other,46347.5,9545.84
268,Married,Female,0,51,11,34,Professional,66322,32165.68
269,,Female,1,40,13,34,Trade,26555.46,2743.19
270,Married,Female,1,56,10,26,Administrative,33843.08,92245.85
271,Married,Female,1,54,19,29,Unemployed,3797.06,495.88
272,Married,Male,0,48,12,32,Professional,60554.33,21617.1
273,Married,Female,0,42,15,20,Other,21897.04,3144.54
274,Married,Female,0,45,14,29,Professional,54671.6,7897.58
275,Married,Male,1,48,10,51,Retired,19922.62,21614.01
276,Married,Male,0,46,12,,Administrative,28505.96,37090.69
277,Married,Male,1,50,14,56,Administrative,24679.18,52050.79
278,Married,Male,0,39,16,22,Administrative,42631.63,3143.28
279,Married,Male,0,43,13,39,Other,-3664.38,37091.62
280,Married,Female,0,49,10,35,Unemployed,3498.09,520.52
281,Married,Female,0,44,16,29,Retired,47203.73,7898.66
282,Married,Female,1,52,20,29,Professional,64642.62,64587.7
283,Married,Female,1,58,14,33,Other,38341.55,97449.36
284,Married,Female,0,43,16,30,Administrative,43280.75,12108.41
285,Married,Female,0,44,17,24,Retired,20284.29,7089.61
286,Married,Female,0,43,14,27,Professional,32411.07,4310.35
287,Married,Female,0,49,10,,Unemployed,3663.39,197.01
288,Married,Male,1,52,15,61,Other,34810.47,100003.88
289,Married,Male,0,50,14,32,Professional,69888.19,32001.8
290,Married,Female,1,50,9,33,Administrative,30647.85,52053.48
291,Married,Female,0,41,10,30,Retired,26286.91,2742.13
292,Married,Female,0,43,14,33,Administrative,36423.1,3142.75
293,Married,Female,1,49,16,33,Trade,46606.44,52054.47
294,Married,Female,0,43,9,27,Trade,46367.69,12106.33
295,Married,Female,0,35,11,31,Administrative,13506.6,388.41
296,Married,Female,0,43,14,32,Other,25567.01,15933.44
297,Married,Female,0,42,10,28,Professional,26979.99,5299.63
298,Married,Male,1,57,19,19,Retired,18455.49,100004.94
299,Married,Female,0,48,18,25,Retired,32477.66,21614.63
300,Married,Female,0,46,14,23,Trade,47028.48,7489.63
301,Married,Female,1,58,8,31,Other,46622.57,94686.5
302,Married,Female,0,43,15,29,Administrative,29741.45,4307.14
303,Married,Female,0,39,9,27,Administrative,30199.63,9545.16
304,Married,Female,0,46,10,29,Professional,72202.85,7896.58
305,Married,Male,0,50,13,29,Other,37029.94,19704.43
306,Married,Female,0,44,17,34,Retired,28805.38,4309.11
307,Married,Male,0,36,11,34,Trade,19061.27,3.97
308,Married,Female,0,51,11,28,Unemployed,3887.39,514.33
309,Married,Female,1,53,14,29,Trade,54698.57,49587.67
310,Married,Male,0,42,16,28,Administrative,31793.54,3.58
311,Married,Female,1,62,13,27,Professional,70745.98,100003.84
312,Married,Female,0,37,14,34,Administrative,45411.38,10590.01
313,Married,Female,0,30,11,29,Other,23397.85,1.11
314,,Female,0,,14,32,Trade,43024.01,7494.4
315,Married,Female,1,57,15,32,Trade,50318.24,100003.01
316,Married,Male,0,44,16,34,Professional,45738.63,-0.78
317,Married,Female,1,48,13,35,Other,41369.26,21619.17
318,Married,Female,0,43,17,27,Other,33815.22,4310.89
319,Married,Female,1,58,14,33,Trade,45170.23,97448.8
320,Married,Female,0,52,19,33,Administrative,28663.57,64585.78
321,Married,Female,0,60,16,31,Trade,46760.71,93469.74
322,Married,Female,1,40,20,25,Other,36094.02,9549.87
323,Married,Male,1,56,9,25,Professional,73848.54,77019.49
324,Married,Female,1,56,12,33,Administrative,32720.77,77018.52
325,Married,Female,0,43,11,31,Trade,-1484.52,7086.55
326,Married,Female,1,49,8,32,Professional,43477.89,32002.08
327,Married,Male,1,57,14,28,Professional,72012.37,94685.21
328,Married,Female,0,49,14,27,Trade,46614.63,52052.48
329,Married,Female,0,47,11,16,Professional,56005.23,15934.22
330,,Female,0,46,11,30,Other,37511.65,12110.11
331,Married,Male,0,48,12,30,Professional,57727.2,21619.88
332,Married,Female,0,,18,,Unemployed,3642.69,52.96
333,Married,Female,0,42,15,25,Unemployed,3820.69,53.01
334,Married,Female,0,,15,37,Professional,20175.08,15932.78
335,Married,Female,0,49,14,31,Retired,41004.73,32000.93
336,Married,Male,1,56,15,28,Retired,30678.79,90310.27
337,Married,Female,0,43,11,23,Professional,8703.96,15933.73
338,Married,Female,1,56,15,22,Other,38164.01,92247.21
339,Married,Male,0,40,11,31,Administrative,15057.29,6471.39
340,Married,Female,1,53,14,33,Retired,45674.26,75395.54
341,Married,Male,0,51,11,32,Professional,65656.48,49333.99
342,Married,Female,0,43,13,29,Professional,47547.8,7900.52
343,Married,Female,0,35,13,33,Other,23213.02,388.35
344,Married,Female,0,43,20,23,Other,23636.26,15933.62
345,Married,Male,1,55,18,60,Other,47027.58,100002.51
346,Married,Female,1,57,17,27,Unemployed,3817.55,999.96
347,Married,Female,0,44,16,34,Trade,13482.28,7084.3
348,Married,Male,1,55,10,67,Retired,33523.52,100001.76
349,Married,Male,0,43,13,26,Retired,23216.06,1.32
350,Married,Female,0,47,10,34,Professional,70419.52,14564.17
351,Married,Female,0,43,17,25,Unemployed,3796.17,70.88
352,Married,Female,0,48,19,33,Other,35972.8,21621.91
353,Married,Female,0,49,11,25,Administrative,33105.05,19705.73
354,Married,Female,0,45,12,27,Administrative,24117.85,11001.92
355,Married,Male,0,48,12,36,Administrative,34175.59,21618.24
356,Married,Male,1,54,15,64,Trade,47138.47,100002.75
357,Married,Female,1,55,10,33,Administrative,35362.9,77020.25
358,Married,Male,1,53,19,52,Professional,60462.4,100005.01
359,Married,Male,0,44,13,18,Other,43800.74,3142.94
360,Married,Female,0,41,8,32,Professional,18858.5,15934.72
361,Married,Male,1,41,10,31,Professional,35743.85,6470.46
362,Married,Female,0,48,12,23,Other,43745.64,21616.47
363,Married,Male,1,57,16,28,Retired,31050.26,94685.91
364,Married,Female,0,36,14,23,Trade,20154.22,7490.91
365,Married,Male,0,42,16,31,Administrative,18982.98,6470.65
366,Married,Male,1,58,11,29,Trade,46456.98,97447.16
367,Married,Female,0,45,12,32,Trade,46806.63,7487.65
368,Married,Female,0,44,9,34,Administrative,39777.43,12106.14
369,Married,Female,1,52,13,24,Unemployed,3802.1,321.69
370,Married,Female,0,49,9,18,Administrative,34235.88,52054.81
371,Married,Male,0,45,17,31,Professional,60794.97,6470.34
372,Married,Female,0,38,14,28,Trade,27977.21,10588.31
373,Married,Female,0,47,16,32,Other,36699.74,15929.12
374,Married,Male,0,54,12,24,Retired,22233.52,68702.77
375,Married,Female,0,46,11,40,Professional,54214.63,15930.19
376,Married,Male,0,42,12,29,Professional,23401.84,1.1
377,Married,Female,0,35,11,31,Professional,1846.58,387.72
378,Married,Female,1,55,17,35,Trade,51333.47,92244.66
379,Married,Female,0,41,14,28,Retired,16810.45,2744.26
380,Married,Female,0,47,12,31,Trade,49900.68,14568.05
381,Married,Female,1,65,16,14,Professional,61547.18,100005.19
382,Married,Male,1,58,12,27,Administrative,30301.39,100005.29
383,Married,Female,1,50,13,29,Administrative,28943.61,19707.99
384,Married,Female,0,37,16,31,Professional,21897.58,10589.86
385,Married,Female,0,44,14,33,Trade,28578.41,3143.03
386,Married,Female,1,63,11,36,Other,45142.18,99999.71
387,Married,Female,1,56,18,35,Trade,51600.2,92243.61
388,Married,Female,0,46,14,32,Professional,72807.32,15932.61
389,Married,Male,0,34,14,31,Unemployed,3792.59,0.06
390,Married,Male,1,49,14,54,Trade,50105.26,52056.46
391,Married,Female,0,35,14,35,Other,19870.49,386.77
392,Married,Female,0,40,11,28,Trade,23317.93,2742.8
393,Married,Male,0,45,9,35,Trade,49492.91,1.96
394,Married,Female,0,46,14,28,Professional,68415.2,7898.83
395,Married,Female,1,51,15,23,Unemployed,3738.31,321.63
396,Married,Male,0,41,9,29,Other,28474.27,6.26
397,Married,Male,1,54,13,39,Unemployed,3524.87,687
398,Married,Female,0,33,13,30,Professional,34940.79,4.58
399,Married,Female,1,53,14,28,Other,38563.33,77218.7
400,Married,Female,1,49,13,36,Trade,47412.47,52049.55
401,Married,Female,0,49,8,29,Other,43777.64,32006.14
402,Married,Female,0,46,14,35,Administrative,34536.64,4311.28
403,Married,Female,1,55,13,27,Unemployed,3690.14,922.45
404,Married,Female,0,51,16,30,Trade,49782.54,32166.76
405,Married,Male,0,41,15,31,Trade,18559.44,6468.2
406,Married,Female,0,41,12,23,Professional,43149,15929.02
407,Married,Male,0,42,12,29,Administrative,18480.34,-0.53
408,Married,Male,1,56,14,23,Trade,54339.01,92244.67
409,Married,Female,0,40,13,29,Trade,19338.5,2741.09
410,Married,Male,0,53,14,27,Administrative,27846.31,68702.65
411,Married,Male,0,35,13,31,Administrative,30861.67,388.16
412,Married,Female,1,52,16,31,Administrative,33789.78,64588.3
413,Married,Female,1,56,14,26,Retired,41025.59,92245.03
414,Married,Female,0,53,16,31,Trade,44815.44,75393.98
415,Married,Male,0,38,14,26,Other,18321.1,3.46
416,Married,Female,0,36,16,34,Professional,52303.64,10590.97
417,Married,Female,0,38,10,34,Other,40192.99,10593.34
418,Married,Male,0,46,11,30,Other,50753.52,1.07
419,Married,Female,0,43,16,24,Retired,51653.57,7898.96
420,Married,Male,0,46,12,31,Trade,47051.03,6465.79
421,Married,Female,0,41,10,19,Trade,22203.36,7491.85
422,Married,Female,0,38,14,32,Retired,36176.47,15932.26
423,Married,Male,0,49,10,34,Trade,47226.77,31998.3
424,Married,Male,0,42,12,37,Administrative,13448.78,37089.97
425,Married,Male,0,45,10,27,Trade,49977.32,4.27
426,Married,Male,0,44,13,25,Administrative,21410.86,6471.43
427,Married,Male,1,61,14,29,Administrative,30426.71,100002.09
428,Married,Male,1,54,10,63,Unemployed,3666.3,1000.04
429,Married,Female,1,56,15,28,Other,41894.09,90309.69
430,Married,Female,1,60,16,31,Unemployed,3537.55,934.68
431,Married,Male,0,50,10,28,Administrative,36121.4,19706.86
432,Married,Male,1,54,11,54,Other,40945.11,100003.86
433,Married,Female,0,41,11,24,Trade,36252.3,2740.88
434,Married,Female,0,45,16,35,Professional,57217.62,7898.03
435,,Male,1,53,16,49,Trade,49887.69,100003.6
436,Married,Female,1,53,12,29,Other,37984.47,49589
437,Married,Female,0,47,10,27,Administrative,32018.88,14566.8
438,Married,Male,1,57,11,,Other,41890.86,97448.12
439,Married,Female,1,56,10,24,Unemployed,3740.24,903.08
440,Married,Female,0,49,9,28,Retired,45503.2,31999.44
441,Married,Female,1,55,10,26,Other,37192.41,92244.28
442,Married,Male,0,40,9,29,Other,37340.81,0.09
443,Married,Female,0,44,14,35,Trade,36308.38,4310.63
444,Married,Female,0,43,13,28,Administrative,33609.14,4309.14
445,Married,Female,0,50,10,31,Administrative,23037.01,19711.38
446,Married,Female,1,55,9,28,Trade,54276.99,90306.92
447,Married,Female,0,47,14,32,Unemployed,3747.59,74.9
448,Married,Female,0,39,10,23,Administrative,33670,7490.4
449,Married,Female,1,56,12,28,Unemployed,3830.95,903.11
450,Married,Female,1,53,14,32,Professional,38049.59,75398.09
451,Married,Female,1,44,15,28,Retired,15165.6,7085.36
452,Married,Male,1,57,17,35,Trade,50353.69,100001.49
453,Married,Female,0,43,11,27,Professional,41036.74,12108.4
454,Married,Male,1,61,17,23,Trade,46211.76,100004.65
455,Married,Female,0,43,12,25,Trade,2836.35,7087.35
456,Married,Female,0,54,15,27,Trade,49579.35,68702.6
457,Married,Female,0,42,11,29,Other,8765.31,5301.23
458,Married,Male,1,57,14,33,Administrative,30255.24,97445.78
459,Married,Female,0,51,17,31,Other,36375.62,49335.61
460,Married,Female,0,47,12,35,Professional,68695.44,14564.2
461,Married,Female,0,54,11,29,Retired,42166.13,49588.81
462,Married,Female,0,41,9,31,Trade,23677.56,2742.12
463,Married,Female,0,51,15,34,Other,37092.2,32174.25
464,Married,Male,1,,12,61,Trade,14153.65,37088.86
465,Married,Female,1,50,15,33,Other,33753.57,52052.66
